,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type,part_time_beds,tag,index_right,GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,geometry,str_geometry
3606,7123658488,node,25.0,,,blood_check,,AIDS Society of the Philippines,,81336390.0,,,+632 3762546; +632 3762541; +632 4100204,aaef3dbb48124962b0c51a5ff74aba7b,,Mo-Fr 7:00-18:00,,https://www.facebook.com/RedTentPh/posts/list-of-hiv-testing-and-counseling-centerssan-lazaro-hospitalquiricada-st-sta-cr/1909593362641522/,,,5.0,,2020-02-22T00:26:16,,,,,,GOwin,,,,,laboratory,ngo,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0334237442924 14.6369289692893),
3617,7001665786,node,9.0,,clinic,,,,,82850825.0,,,,99b1bda1831d467ebeead62e0c07ff7d,,,,,,,2.0,,2020-03-31T03:33:06,,,,,,GOwin,,,,,clinic,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0788415895523 14.68309909035901),
3680,2446633697,node,12.0,,pharmacy,,Quirino Hiway,,,27128872.0,,,,d70b726976e64e7abfa9c0075e67ea14,,,,,,,3.0,,2014-11-30T12:49:45,,,,Healing Galing,,peterwilt,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0263128729162 14.6885861356335),
3697,5869716085,node,15.0,,doctors,,Malakas,,,62156935.0,,,,5399dbadbb8d4dcbbb47ed75f2650557,,Tu-Su 08:00-17:00,,,,,2.0,,2018-08-31T00:37:46,,,,Integrative Medicine for Alternative Healthcare Systems (INAM),,Todits,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0485297778298 14.63891137320888),
3760,6571842385,node,15.0,,clinic,,East Avenue,,,71622714.0,,,,985c50cc1aa14f49b23d5851e6f3cc6d,,Mo-Sa 06:00-18:00; Su 06:00-12:00,,,,,1.0,,2019-06-26T05:46:50,,,,Hi-Precision,,Ora Gon,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0462682565346 14.63750111799993),
3785,7866793787,node,15.0,,pharmacy,,,,,90270203.0,,,,08ef093e927949c49c29f4bb52f81a6e,,,,,,,1.0,,2020-09-02T02:19:18,,,,Mercury Drug,,jrsalunga,,,,yes,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0005181526329 14.61628056991651),
3841,4456079591,node,12.0,,clinic,,V. Luna Avenue,,,43026410.0,,,,1aa7c67c547c4b02929cbdacd976a119,,,,,,,1.0,,2016-10-20T07:39:00,,,,Marzan Health Care Clinic,,Rommel Pisco,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0502353274875 14.63730573583695),
3892,255063024,node,18.0,,hospital,,,,,86331991.0,,,,5fb01d9159954d6c8730161fe3be0105,,,,jklinc,,,5.0,,2020-06-08T05:58:34,,1100,Quezon City,J. P. Sioson General Hospital And Colleges,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0250944794709 14.65990334679276),
3906,7130444986,node,12.0,,clinic,,,,,79552948.0,,,,eb60f001f824491abb42796aa91b7037,,,,,,,1.0,,2020-01-14T08:42:31,,,,Starmed Diagnostic Services Inc.,,GrabPHMikko,,,,,clinic,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0494620969198 14.64428157475311),
3919,8099751917,node,9.0,,clinic,,,,,93839123.0,,,,a74d510ebadc4a708c47f40292356cdd,,,,,,,1.0,,2020-11-10T07:01:52,,,,mata ng buhay,,lokal04,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0528680832743 14.70598227275593),
3923,3638249926,node,18.0,,dentist,,Banawe Street,,,88807174.0,,,,499fd4f7a1d74f17b0704fd43918b43d,,,,,,,5.0,,2020-08-01T05:58:55,969,,Quezon City,King Dental Office,,TagaSanPedroAko,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0006354992773 14.63988115940606),
3939,4812420721,node,18.0,,clinic,,Camaro,,,66255969.0,,,,289cc0e72ca2479182b6f341921a40ee,,24/7,,,,,2.0,,2019-01-12T17:30:12,46,,,GRACE HALFWAY HOME INC.,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0710777679188 14.703180118706),
4025,5436534106,node,12.0,,pharmacy,,,,,82611751.0,,,,d38bc9e2d4f64b0d91188e144623d2ba,,,,,,,2.0,,2020-03-25T12:52:58,,,,Mercury Drug,,Marion Ordillano,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0592029580548 14.63596186530114),
4060,6643035487,node,9.0,,pharmacy,,,,,72591439.0,,,,cd29713f6ac8440fada27d67fea845c3,,,,,,,1.0,,2019-07-24T08:59:04,,,,Variance (Gretchen),,Lexus_357,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0527413488983 14.63667239923316),
4117,7091786887,node,34.0,,clinic,,V. Luna Avenue,Hi-Precision Diagnostics,,88836991.0,,,,a717bed51f2b4e54815c115e92c63981,,Mo-Sa 06:00-17:00,,,,,3.0,,2020-08-02T11:22:56,31-B,1100,Quezon City,Hi-Precision Diagnostics,,Reintasico,,,,,clinic,private,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0499807690882 14.63729534227701),
4125,2546633636,node,9.0,,dentist,,,,,70680458.0,,,,66b317d82a1144bea2ed7aee79d15713,,,,,,,3.0,,2019-05-28T03:44:07,,,,Dental Care Clinic,,paduhh,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0523694438546 14.64542612363147),
4133,4523796391,node,9.0,,clinic,,,,,43970325.0,,,,3cf30fe3e8884bfba2a4b785d792f7e5,,,,,,,1.0,,2016-11-26T19:47:02,,,,Wenceslao dela faz health center,,jovie anne De Los Santos,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0576289204579 14.66674189013492),
4146,957223867,node,15.0,,pharmacy,,Gen. Romulo,,,80583757.0,,,,8d5ddc6b059747d48a3764f1ef2f0c77,,Mo-Su 06:00-23:00,,,,,3.0,,2020-02-05T10:59:17,,,,Mercury Drug QC Araneta - Ali Mall,,DP24PH,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0570389182935 14.6202291168635),
4147,7328443486,node,12.0,,,,Maginhawa Street,,,82611141.0,,,,c44fe57170424bd8a5fa912c1903694b,,,,,,,1.0,,2020-03-25T12:23:18,,,,Maginhawa Medical and Dental Clinic,,Monica May,,,,,clinic,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0579311718863 14.64697778154695),
4149,1435156968,node,9.0,,pharmacy,,,,,86331991.0,,,,e7f5a008c24c423e9d135ce5fa524d38,,,,,,,2.0,,2020-06-08T05:59:06,,,,Watsons,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0307315608121 14.656425527528),
4150,7735561785,node,9.0,,clinic,,,,,88320233.0,,,,9d8c84bd7e1c43ce86a9853d4d5e8efb,,,,,,,1.0,,2020-07-22T03:50:20,,,,L.V. Geneblaza Riverside Medical Clinic,,Serkenburg,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0159921517196 14.61905464459082),
4161,1648466002,node,9.0,,clinic,,,,,86331991.0,,,,11d351f52bf54bee8a699f4d53097b00,,,,,,,2.0,,2020-06-08T05:59:10,,,,Roque Optical,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0191030950824 14.65580375795059),
4208,6284032189,node,9.0,,pharmacy,,,,,67275063.0,,,,6175731b49dd482ba7dde128d9722a86,,,,,,,1.0,,2019-02-17T10:14:43,,,,Gamot Publiko,,JulesGreg,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0896129218635 14.69685521839028),
4239,6570104693,node,9.0,,pharmacy,,,,,86332902.0,,,,45987b329dc5420e929d2240b5592a01,,,,,,,2.0,,2020-06-08T06:15:37,,,,Artlizh Pharmaceutical,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0215334279076 14.66359632951196),
4257,4224005701,node,15.0,,pharmacy,,J. P. Rizal,,,57097257.0,,,,5b8e2980285a49908b517ba6df0efd6d,,Mo-Su 07:00-22:00,,,,,2.0,,2018-03-12T02:17:03,,,,Mercury Drug Store,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0721020364866 14.62110267881224),
4267,4366687891,node,9.0,,clinic,,,,,63815747.0,,,,66b1f18898804e3792fccdb2f0465af6,,,,,,,2.0,,2018-10-24T02:58:30,,,,Herry Mangkanor,,Alvin Noveno,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0038099774662 14.61948949772747),
4275,7092918285,node,9.0,,pharmacy,,,,,78974229.0,,,,f980050fd75b42b29913a195bd883968,,,,,,,1.0,,2019-12-29T09:56:08,,,,Southstar Drug,,jenjereren,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0862846357513 14.69054733333803),
4294,7062190896,node,9.0,,dentist,,,,,86414831.0,,,,2def3de9d740444da96ebe168790af9b,,,,,,,2.0,,2020-06-09T15:00:09,,,,mesa-jonson,,Enteng Siaga,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0561409650065 14.61679723042812),
4327,1588109986,node,12.0,,doctors,,Tandang Sora Avenue,,,74457385.0,,,,66b4d074cd9140d18b7a5c942ae21cab,,,,,,,2.0,,2019-09-13T23:37:10,,,,Tandang Sora Medical Dental Ob-gyne Clinic,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0452457481664 14.6757084310548),
4367,7328546986,node,12.0,,,,Anonas Extension,,,82611751.0,,,,59492fe0912141ba9e8feef1c31ce31b,,,,,,,1.0,,2020-03-25T12:36:29,,,,Patient First Medical Center,,Marion Ordillano,,,,,laboratory,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0588978567793 14.63481798697507),
4428,1059290448,node,9.0,,pharmacy,,,,,6745793.0,,,,a3f7899dbd2446ae97cbd7f54efc9b5d,,,,,,,1.0,,2010-12-23T14:24:05,,,,Mercury Drug,,wdmanuel,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0803820995366 14.70449649659938),
4473,255069320,node,15.0,,hospital,,,,,86505956.0,,,,517523d41a9d4da1acddd801072781cb,,,,,,,7.0,,2020-06-11T08:44:56,,1400,Kalookan,Pascual General Hospital,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.009097198169 14.66704313573499),
4511,4901458321,node,9.0,,pharmacy,,,,,49328924.0,,,,0b939f05916445359c288528289331cb,,,,,,,1.0,,2017-06-07T08:32:05,,,,apc juvinile,,Kingcute,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0241806843869 14.63554662581794),
4542,1266288921,node,15.0,,pharmacy,,Eastwood Avenue,,,67727716.0,,,,26030ce272ae40f6a9c741219b545c6c,,,,,,,5.0,,2019-03-03T03:27:10,,,Quezon City,Watsons,,CloCkWeRX,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0795389638963 14.60941168408485),
4580,5021740326,node,9.0,,pharmacy,,,,,50938736.0,,,,ea338e2972704b209ffa64df24e26572,,,,,,,1.0,,2017-08-08T09:31:52,,,,Watsons,,seanrichard,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0685528872258 14.66327823628654),
4598,3446554554,node,9.0,,clinic,,,,,30092797.0,,,,930435ba83a74f089c24b54ed26f8d02,,,,,,,1.0,,2015-04-09T12:22:05,,,,VDerma Clinic,,jenjereren,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0610783250709 14.64497727271652),
4599,7328683485,node,18.0,,pharmacy,,Vertis Drive,,,86332960.0,,,,c4df4eabfffd4ef38be0b990afc9d8ba,,11:00 - 22:00,,,,,2.0,,2020-06-08T06:15:48,,,,Watsons Pharmacy,,mipangan,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0361341165026 14.65164742362393),
4600,2548107038,node,9.0,,dentist,,,,,70680458.0,,,,374e161e4b20483ea98446f7a80b775f,,,,,,,2.0,,2019-05-28T03:44:08,,,,Del Castillo Dental Clinic,,paduhh,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0514159185495 14.64508975785711),
4620,2575086721,node,15.0,,clinic,,Epifanio Delos Santos Avenue,,,19386075.0,,,,2f32745f5ada493a8683ac350d62b59e,,,,,,,1.0,,2013-12-10T23:11:53,,,Quezon City,Medicard,,seav,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0399150253861 14.64199524302447),
4653,4460972899,node,15.0,,,,Epifanio de los Santos Avenue,,,83501897.0,,,,e7cf9b7f5f7646cfb6208a7bd5271cfb,,Mo-Fr,,,,,4.0,,2020-04-14T02:21:41,,,,AMGB drug testing center,,GOwin,,,,,laboratory,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0546969307277 14.61100843663939),
4674,7735603189,node,9.0,,dentist,,,,,89007145.0,,,,882f9c8e028c46b7b9bd12667da2dc6a,,,,,,,2.0,,2020-08-06T02:30:42,,,,"Ruben C. Bulan, DMD",,TagaSanPedroAko,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0140061435816 14.63993044499671),
4696,4223973402,node,12.0,,pharmacy,,,,,86332229.0,,,,c1a72143968e4347a6cefaf7af3192b0,,Mo-Su 10:00-21:00,,,,,3.0,,2020-06-08T06:03:29,,,,Mercury Drug,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0333636460467 14.65326353837483),
4701,4223993520,node,12.0,,pharmacy,,,,,86332229.0,,,,6b9a948ff7024141a862c5cb28d16c1f,,Mo-Su 07:00-22:00,,,,,3.0,,2020-06-08T06:03:29,,,,Mercury Drug,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0328802616907 14.65425436314897),
4716,2546516226,node,6.0,,pharmacy,,,,,19068485.0,,,,b2051ada987441ceb5fd7dc3fc074089,,,,,,,1.0,,2013-11-23T09:28:26,,,,,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0528535825819 14.64628099393613),
4721,5055251614,node,9.0,,pharmacy,,,,,96942921.0,,,,5a0d8a85c8744b6abb9b1f3203f67203,,,,,,,2.0,,2021-01-05T03:31:23,,,,Mercury Drugstore,,mapbeks,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0350623225438 14.70122042974401),
4732,7328483185,node,6.0,,,,,,,82611399.0,,,,337e992afca749a1afbd7402a3de63bd,,,,,,,1.0,,2020-03-25T12:26:37,,,,,,ytrngn,,,,,clinic,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0452185908001 14.67521498841498),
4752,2825660263,node,9.0,,pharmacy,,,,,22035581.0,,,,d1ddb20297b14292b47b53d586ac38c9,,,,,,,1.0,,2014-04-30T04:21:53,,,,JM Pharmacy,,Decoder777,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0903363639264 14.68574089860124),
4770,4413999889,node,12.0,,pharmacy,,,,,63294186.0,,,,9dabbffcfdba4532ac87197f7607dbbc,,,,,,,2.0,,2018-10-08T03:04:55,,,,TGP,,GOwin,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0685843193627 14.70672356827259),
4794,255062524,node,21.0,,pharmacy,,,,,86331991.0,,,,1b538a6a9a05434290e921349f285ba8,,,,jklinc,,,8.0,,2020-06-08T05:58:34,,1106,Quezon City,Mercury Drug,,mipangan,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (120.9969324582743 14.65182386268575),
4806,4574896493,node,12.0,,clinic,,Malakas,,,56370963.0,,,,e47ce5e6280d483297971ec8996e32d8,,,,,,,3.0,,2018-02-15T02:57:53,,,,MRL Cybertech,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0496377816103 14.64350113574864),
4840,4676952390,node,18.0,,clinic,,Arayat corner Driod,Dr. Villoria,,56555713.0,,,,cfa048b146d94d54a803d9f20609d138,,Mo-Sa 09:00-17:00,,,,,2.0,,2018-02-21T17:13:40,,,,Cellular Nutrition,,Rally,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0480622352708 14.61956736560794),
4899,5072575421,node,12.0,,dentist,,Atty. Pat Senador Sr.,,,86332372.0,,,,cccab4765b26407392f7aa3c37de206d,,,,,,,2.0,,2020-06-08T06:05:35,,,,Bermudez Dental Clinic,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0155810193689 14.64668139745072),
4939,1201346640,node,15.0,,pharmacy,,Del Monte Avenue,,,89007145.0,,,,f21b9e8b1d3d418aad90aef33580e3d6,,Mo-Su 07:00-23:00,,,,,4.0,,2020-08-06T02:30:42,,,,Mercury Drug,,TagaSanPedroAko,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.015430564207 14.64041056041049),
4956,4611804690,node,9.0,,doctors,,,,,45214681.0,,,,fe9d1459895542bbae605428df5b1f4b,,,,,,,1.0,,2017-01-16T12:37:23,,,,Realty bldg.,,Kingcute,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0153523610503 14.60765743556968),
4961,255052286,node,18.0,,pharmacy,,Mayon,,,86331991.0,,,,ee056cb130d34d43a40748eaf90f99f6,,,,,,,9.0,,2020-06-08T05:58:34,,,Quezon City,Mercury Drug,,mipangan,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (120.9991910459034 14.62328742187441),
4980,967510691,node,9.0,,pharmacy,,,,,86331991.0,,,,b0a30119014b48dbace4d05a516bda35,,,,,,,2.0,,2020-06-08T05:58:44,,,,South Star Drug,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0443511476407 14.66236846451608),
4985,3191198311,node,9.0,,dentist,,,,,26838871.0,,,,f66a3046649640d295c2cc9366281727,,,,,,,1.0,,2014-11-17T08:39:03,,,,Yap Marie Dental Clinic,,k0n,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0813183581211 14.67888743547141),
5068,4865793724,node,9.0,,pharmacy,,,,,82573555.0,,,,6c53b3226e7945258ae7b4777552c480,,,,,,,4.0,,2020-03-24T13:44:40,,,,Variance Trading,,GrabPHMikko,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0528020338774 14.63667868566054),
5093,3639340301,node,9.0,,,,,,,93397511.0,,,,767239f0c193461683d1f214a695d03d,,,,,,,4.0,,2020-11-02T06:39:42,,,,Banawe Diagnostic/MRI Imaging Center,,TagaSanPedroAko,,,,,laboratory,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0041802899484 14.62786997597743),
5128,3103181481,node,18.0,,pharmacy,,Anonas,,,85054703.0,,,,6a3f17664c55485eb933b8d0da5b3c32,,Mo-Su 07:00-22:00,,,,,4.0,,2020-05-12T03:21:40,,,,Mercury Drug,,GOwin,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0592357312962 14.63315325718577),
5176,6612883514,node,15.0,,pharmacy,,,,,72230601.0,,,,e8a6b7de97ac4e07a5f0f73dea46fcbf,,,,,,,1.0,,2019-07-14T11:42:41,,,,The Generics Pharmacy,,jenjereren,,,,yes,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.086510779499 14.69049058785353),
5226,1723253561,node,15.0,,pharmacy,,Commonwealth Avenue,,,52277045.0,,,,64c0edde348541e6bb301a52b0515eef,,,,,,,3.0,,2017-09-22T13:50:41,,,Quezon City,South Star Drug,,raito,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0712682885779 14.66657509026177),
5289,1203907235,node,21.0,,pharmacy,,Quezon Avenue,,,86331991.0,,,,62baed0b79464cdba9e533c6238f07fe,,,,,,,6.0,,2020-06-08T05:58:57,,1114,Quezon City,TGP,,mipangan,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0082970616921 14.62411764938375),
